0.00 0.000 0.000 1.0023	1.0023 0.0013
1.52 0.004 0.088 0.9708	0.9708 0.0013
4.56 0.012 0.265 0.9666	0.9665 0.0010
7.60 0.021 0.442 0.9648	0.9647 0.0014
10.65 0.029 0.619 0.9657	0.9656 0.0013
13.69 0.037 0.795 0.9659	0.9659 0.0010
16.73 0.046 0.972 0.9673	0.9672 0.0014
19.77 0.054 1.149 0.9681	0.9680 0.0012
22.81 0.062 1.326 0.9699	0.9699 0.0010
25.85 0.071 1.502 0.9665	0.9665 0.0012
28.90 0.079 1.679 0.9696	0.9695 0.0013
31.94 0.087 1.856 0.9685	0.9684 0.0010
34.98 0.096 2.033 0.9681	0.96807 0.00098
38.02 0.104 2.209 0.9699	0.9699 0.0011
41.06 0.112 2.386 0.9699	0.9699 0.0014
44.10 0.121 2.563 0.9686	0.9685 0.0011
47.15 0.129 2.739 0.9672	0.9671 0.0012
50.19 0.137 2.916 0.9668	0.9668 0.0011
53.23 0.146 3.093 0.9657	0.9656 0.0010
56.27 0.154 3.270 0.9644	0.9643 0.0013
59.31 0.162 3.446 0.9658	0.9657 0.0013
62.35 0.171 3.623 0.9650	0.9650 0.0010
65.40 0.179 3.800 0.9643	0.9642 0.0012
68.44 0.187 3.977 0.9623	0.9623 0.0012
71.48 0.196 4.153 0.9594	0.9593 0.0012
74.52 0.204 4.330 0.9617	0.9617 0.0013
77.56 0.212 4.507 0.9615	0.9615 0.0011
80.60 0.221 4.684 0.9577	0.95774 0.00099
83.65 0.229 4.860 0.9576	0.9576 0.0011
86.69 0.237 5.037 0.9572	0.9572 0.0014
89.73 0.246 5.214 0.9562	0.9561 0.0012
92.77 0.254 5.391 0.9549	0.9548 0.0012
95.81 0.262 5.567 0.9522	0.9521 0.0011
98.85 0.271 5.744 0.9510	0.9510 0.0013
101.90 0.279 5.921 0.9507	0.9506 0.0013
104.94 0.287 6.098 0.9470	0.9469 0.0010
107.98 0.296 6.274 0.9482	0.94822 0.00095
111.02 0.304 6.451 0.9458	0.9457 0.0014
114.06 0.312 6.628 0.9447	0.9446 0.0012
117.10 0.321 6.805 0.9434	0.9433 0.0014
120.15 0.329 6.981 0.9433	0.9432 0.0012
123.19 0.337 7.158 0.9407	0.9407 0.0013
126.23 0.346 7.335 0.9415	0.9414 0.0014
129.27 0.354 7.512 0.9384	0.9384 0.0012
132.31 0.362 7.688 0.9360	0.9359 0.0011
135.35 0.371 7.865 0.9361	0.9361 0.0010
138.40 0.379 8.042 0.9386	0.9385 0.0011
141.44 0.387 8.218 0.9347	0.9346 0.0011
144.48 0.396 8.395 0.9326	0.9326 0.0012
147.52 0.404 8.572 0.9290	0.9289 0.0011
150.56 0.412 8.749 0.9273	0.9272 0.0013
153.60 0.421 8.925 0.9295	0.9295 0.0014
156.65 0.429 9.102 0.9269	0.9268 0.0010
159.69 0.437 9.279 0.9261	0.92613 0.00095
162.73 0.446 9.456 0.9263	0.9262 0.0012
165.77 0.454 9.632 0.9237	0.92365 0.00095
168.81 0.462 9.809 0.9210	0.9210 0.0010
171.85 0.471 9.986 0.9213	0.9213 0.0011
174.90 0.479 10.163 0.9183	0.9182 0.0013
177.94 0.487 10.339 0.9163	0.9162 0.0012
180.98 0.495 10.516 0.9167	0.9166 0.0014
184.02 0.504 10.693 0.9143	0.9143 0.0010
187.06 0.512 10.870 0.9138	0.9138 0.0014
190.10 0.520 11.046 0.9135	0.9134 0.0013
193.15 0.529 11.223 0.9110	0.9110 0.0014
196.19 0.537 11.400 0.9084	0.9084 0.0011
199.23 0.545 11.577 0.9090	0.9089 0.0010
202.27 0.554 11.753 0.9080	0.9080 0.0012
205.31 0.562 11.930 0.9064	0.9063 0.0013
