0.00 0.000 0.000 1.0023	1.0023 0.0013
1.52 0.004 0.088 0.9994	0.99938 0.00086
4.56 0.012 0.265 0.9972	0.9972 0.0010
7.60 0.021 0.442 0.9959	0.9959 0.0014
10.65 0.029 0.619 0.9977	0.9977 0.0011
13.69 0.037 0.795 0.9975	0.9975 0.0012
16.73 0.046 0.972 0.9966	0.9966 0.0012
19.77 0.054 1.149 0.9968	0.9968 0.0010
22.81 0.062 1.326 1.0007	1.0006 0.0014
25.85 0.071 1.502 0.9997	0.9997 0.0012
28.90 0.079 1.679 0.9984	0.9983 0.0014
31.94 0.087 1.856 1.0020	1.00196 0.00098
34.98 0.096 2.033 1.0017	1.0016 0.0014
38.02 0.104 2.209 0.9996	0.9995 0.0011
41.06 0.112 2.386 1.0020	1.0020 0.0011
44.10 0.121 2.563 1.0000	1.0000 0.0013
47.15 0.129 2.739 0.9982	0.9981 0.0012
50.19 0.137 2.916 1.0001	1.0001 0.0012
53.23 0.146 3.093 0.9993	0.9993 0.0012
56.27 0.154 3.270 0.9960	0.9959 0.0014
59.31 0.162 3.446 0.9975	0.9975 0.0011
62.35 0.171 3.623 0.9968	0.9967 0.0011
65.40 0.179 3.800 0.9950	0.9950 0.0011
68.44 0.187 3.977 0.9924	0.9924 0.0012
71.48 0.196 4.153 0.9952	0.9951 0.0012
74.52 0.204 4.330 0.9936	0.9935 0.0011
77.56 0.212 4.507 0.9948	0.9947 0.0011
80.60 0.221 4.684 0.9888	0.98881 0.00098
83.65 0.229 4.860 0.9902	0.9902 0.0011
86.69 0.237 5.037 0.9903	0.9902 0.0011
89.73 0.246 5.214 0.9869	0.9868 0.0011
92.77 0.254 5.391 0.9869	0.9869 0.0011
95.81 0.262 5.567 0.9868	0.9867 0.0011
98.85 0.271 5.744 0.9834	0.9833 0.0011
101.90 0.279 5.921 0.9852	0.9852 0.0014
104.94 0.287 6.098 0.9828	0.9827 0.0013
107.98 0.296 6.274 0.9813	0.9813 0.0014
111.02 0.304 6.451 0.9792	0.9791 0.0012
114.06 0.312 6.628 0.9786	0.9786 0.0014
